Epoch 1, Loss: 1.3707, Accuracy: 0.6229
Epoch 2, Loss: 0.2576, Accuracy: 0.9223
Epoch 3, Loss: 0.1543, Accuracy: 0.9536
Epoch 4, Loss: 0.1108, Accuracy: 0.9664
Epoch 5, Loss: 0.0910, Accuracy: 0.9730
Epoch 6, Loss: 0.0764, Accuracy: 0.9769
Epoch 7, Loss: 0.0683, Accuracy: 0.9791
Epoch 8, Loss: 0.0607, Accuracy: 0.9818
Epoch 9, Loss: 0.0553, Accuracy: 0.9835
Epoch 10, Loss: 0.0496, Accuracy: 0.9848
Epoch 11, Loss: 0.0458, Accuracy: 0.9860
Epoch 12, Loss: 0.0441, Accuracy: 0.9868
Epoch 13, Loss: 0.0398, Accuracy: 0.9882
Epoch 14, Loss: 0.0386, Accuracy: 0.9884
Epoch 15, Loss: 0.0353, Accuracy: 0.9892
Epoch 16, Loss: 0.0332, Accuracy: 0.9898
Epoch 17, Loss: 0.0310, Accuracy: 0.9907
Epoch 18, Loss: 0.0296, Accuracy: 0.9911
Epoch 19, Loss: 0.0281, Accuracy: 0.9913
Epoch 20, Loss: 0.0271, Accuracy: 0.9919
